file_path,last_modified
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=ecology/00000-17-450dfa8e-6237-4a67-982f-03dc11728999-0-00003.parquet,2026-09-11 09:51:21
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=ecology/00000-17-4581cca4-e766-4aef-947d-3c8e1ac110b2-0-00003.parquet,2026-09-11 11:29:24
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=ecology/00000-17-de9b7629-988f-4a56-995f-b44086e53104-0-00003.parquet,2026-09-11 09:48:27
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=economy/00000-17-0902575d-c8c4-4f58-87dc-0f9e03bb8baf-0-00001.parquet,2026-09-11 11:29:58
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=economy/00000-17-30b9f744-7926-4f4c-a2a2-2ff7f0229ccf-0-00001.parquet,2026-09-11 09:48:59
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=economy/00000-17-f24025a3-e1da-4e73-bd6e-b1a3ea0a47d7-0-00001.parquet,2026-09-11 09:51:54
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=energy/00000-17-450dfa8e-6237-4a67-982f-03dc11728999-0-00002.parquet,2026-09-11 09:51:21
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=energy/00000-17-4581cca4-e766-4aef-947d-3c8e1ac110b2-0-00002.parquet,2026-09-11 11:29:24
s3://kkciv-warehouse/experiments/b3_indicator_current/data/domain=energy/00000-17-de9b7629-988f-4a56-995f-b44086e53104-0-00002.parquet,2026-09-11 09:48:27
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00000-7146789a-40b6-46a6-abbc-97c7be292b22.metadata.json,2026-09-11 09:47:27
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00000-8bda6e03-71b9-4b2a-b1c6-1a9b7f41bfc9.metadata.json,2026-09-11 11:28:22
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00000-cf95111c-c79b-42ea-aa1c-94ba9fafad53.metadata.json,2026-09-11 09:50:19
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00001-3fd10421-23d4-45ee-b58a-e9faa4f7b2b6.metadata.json,2026-09-11 11:28:51
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00001-680bc209-5e3d-496c-ad91-ad9df55fcbe3.metadata.json,2026-09-11 09:50:47
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00001-9da6920d-b0d2-426d-a69a-66d4c23a7a0e.metadata.json,2026-09-11 09:47:55
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00002-320a766f-0fa1-4fce-ab38-1576834fded5.metadata.json,2026-09-11 11:29:24
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00002-be86e1b9-ef06-4ab5-af9c-5e953868d1d8.metadata.json,2026-09-11 09:51:21
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00002-c6a88113-a1ad-4b50-bd87-18b586309611.metadata.json,2026-09-11 09:48:27
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00003-46aff65f-ade8-49d9-970f-d6ea7b7378a0.metadata.json,2026-09-11 09:49:00
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00003-91a054f8-e889-43f1-b0ec-06a3784b73b8.metadata.json,2026-09-11 09:51:55
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00003-f12ba634-cb9d-46ec-8a9c-fd2af7698780.metadata.json,2026-09-11 11:29:59
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00004-3a3d52f7-7664-4011-80cc-31473e52d93c.metadata.json,2026-09-11 09:49:36
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00004-738916cd-6496-45d5-88a2-1ae4e441d704.metadata.json,2026-09-11 09:52:33
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/00004-8eb18928-d389-4891-90ef-e36d4135e062.metadata.json,2026-09-11 11:30:36
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/829e7eb9-4fc7-4347-ad77-2f57d5bf9183-m0.avro,2026-09-11 09:51:54
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/829e7eb9-4fc7-4347-ad77-2f57d5bf9183-m1.avro,2026-09-11 09:51:55
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/d66ee779-7df3-4d64-b515-867f9f44c563-m0.avro,2026-09-11 09:48:59
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/d66ee779-7df3-4d64-b515-867f9f44c563-m1.avro,2026-09-11 09:48:59
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/ee8dcd58-5700-4970-96a2-5f730c8fa860-m0.avro,2026-09-11 11:29:58
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/ee8dcd58-5700-4970-96a2-5f730c8fa860-m1.avro,2026-09-11 11:29:58
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/snap-3765661203296020097-1-829e7eb9-4fc7-4347-ad77-2f57d5bf9183.avro,2026-09-11 09:51:55
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/snap-8691715350627994699-1-ee8dcd58-5700-4970-96a2-5f730c8fa860.avro,2026-09-11 11:29:59
s3://kkciv-warehouse/experiments/b3_indicator_current/metadata/snap-9163249687420021002-1-d66ee779-7df3-4d64-b515-867f9f44c563.avro,2026-09-11 09:48:59
